Category,Description,Units,2023,2024,YTD Current Month/2024,YTD Current Month/2025,YTD % Change,YE Previous Month/2025,YE Current Month/2024,YE Current Month/2025,YE % Change,Percent Share
0,TOTAL TEXTILE AND APPAREL IMPORTS (MFA),$,1959822020,1961654581,476568353,449879499,-5.60,1920062526,1927264660,1934965727,0.40,1.76
1,TOTAL APPAREL IMPORTS (MFA),$,1957899502,1959927296,476136105,449504895,-5.59,1918426111,1925256495,1933296086,0.42,2.38
2,TOTAL NON-APPAREL IMPORTS (MFA),$,1922518,1727285,432248,374604,-13.34,1636415,2008165,1669641,-16.86,0.01
11,TOTAL YARN IMPORTS,$,3512,108705,300,0,-100.00,108405,3812,108405,2743.78,0.01
12,TOTAL FABRIC IMPORTS,$,1096332,527732,160492,171343,6.76,447095,1070025,538583,-49.67,0.01
14,TOTAL OTHER MISC. IMPORTS,$,822674,1090848,271456,203261,-25.12,1080915,934328,1022653,9.45,0.00
30,COTTON PRODUCTS,$,1261489222,1298448376,330538129,279520959,-15.43,1252567907,1266758364,1247431206,-1.53,2.74
31,COTTON APPAREL PRODUCTS,$,1260813276,1298209200,330490186,279433462,-15.45,1252258129,1266051549,1247152476,-1.49,3.33
32,COTTON NON-APPAREL PRODUCTS,$,675946,239176,47943,87497,82.50,309778,706815,278730,-60.57,0.00
40,WOOL PRODUCTS,$,235705,340145,63348,62344,-1.58,343173,258370,339141,31.26,0.01
41,WOOL APPAREL PRODUCTS,$,235705,292212,15415,62344,304.44,343173,210437,339141,61.16,0.01
42,WOOL NON-APPAREL PRODUCTS,$,0,47933,47933,0,-100.00,0,47933,0,-100.00,0.00
60,MAN-MADE FIBER PRODUCTS,$,696053220,660382173,144364737,168265774,16.56,664209182,657653735,684283210,4.05,1.20
61,MAN-MADE FIBER APPAREL PRODUCTS,$,695500204,659822372,144210696,168165803,16.61,663802552,657117383,683777479,4.06,1.78
62,MAN-MADE FIBER NON-APPAREL,$,553016,559801,154041,99971,-35.10,406630,536352,505731,-5.71,0.00
71,SILK APPAREL PRODUCTS,$,0,0,0,0,,0,0,0,,0.00
80,SILK AND VEG. PRODUCTS,$,2043873,2483887,1602139,2030422,26.73,2942264,2594191,2912170,12.26,0.09
81,SILK AND VEG. APPAREL,$,1350317,1603512,1419808,1843286,29.83,2022257,1877126,2026990,7.98,0.09
82,SILK & VEG. NON-APPAREL PRODUCTS,$,693556,880375,182331,187136,2.64,920007,717065,885180,23.44,0.10
200,"YARN FOR RETAIL SALE,SEWING THREAD",$,3180,4885,300,0,-100.00,4585,3480,4585,31.75,0.00
201,SPECIALTY YARNS,$,332,0,0,0,,0,332,0,-100.00,0.00
218,FABRICS OF YARNS OF DIFF. COLORS,$,0,0,0,0,,0,0,0,,0.00
219,DUCK FABRIC,$,11862,19995,9253,0,-100.00,19995,10920,10742,-1.63,0.03
220,FABRIC OF SPECIAL WEAVE,$,393363,56790,0,70602,,127392,388079,127392,-67.17,0.08
222,KNIT FABRIC,$,0,21866,0,17274,,21866,0,39140,,0.01
223,NON-WOVEN FABRICS,$,0,0,0,0,,0,0,0,,0.00
224,PILE & TUFTED FABRICS,$,0,0,0,0,,0,0,0,,0.00
225,BLUE DENIM FABRIC,$,643,776,0,0,,776,643,776,20.68,0.00
229,SPECIAL PURPOSE FABRIC,$,42433,6083,2408,0,-100.00,3675,42058,3675,-91.26,0.00
237,"PLAYSUITS, SUNSUITS, ETC",$,157866,157846,3261,0,-100.00,155257,160815,154585,-3.87,0.09
239,BABIES' GARM. & CLOTH. ACCESS.,$,12832256,14858183,3970524,3571641,-10.05,14083046,13425181,14459300,7.70,0.71
301,COMBED COTTON YARN,$,0,0,0,0,,0,0,0,,0.00
313,COTTON SHEETING FABRIC,$,0,0,0,0,,0,0,0,,0.00
314,COTTON POPLIN & BROADCLOTH FAB.,$,0,0,0,0,,0,0,0,,0.00
317,COTTON TWILL FABRIC,$,152559,39851,0,770,,39851,150964,40621,-73.09,0.09
326,COTTON SATEEN FABRIC,$,1673,0,0,0,,0,1673,0,-100.00,0.00
332,COTTON HOSIERY,$,0,0,0,0,,0,0,0,,0.00
333,"M&B SUIT-TYPE COATS, COTTON",$,116262,2892,0,0,,2892,112453,2892,-97.43,0.00
334,"OTHER M&B COATS, COTTON",$,12381307,20322617,5305048,742365,-86.01,18445015,14936748,15759934,5.51,1.99
335,W&G COTTON COATS,$,2370270,8648643,1127975,2190433,94.19,9035331,2582125,9711101,276.09,1.27
336,COTTON DRESSES,$,4429785,5186431,1951101,1020152,-47.71,4412520,5480944,4255482,-22.36,0.30
338,"M&B KNIT SHIRTS, COTTON",$,415878779,494732751,117475411,128957861,9.77,494972134,430823262,506215201,17.50,6.25
339,"W&G KNIT SHIRTS/BLOUSES, COTTON",$,464592438,480428128,129052008,90361804,-29.98,450432210,468597545,441737924,-5.73,8.36
340,"M&B COTTON SHIRTS, NOT KNIT",$,66413774,51382499,10189205,8595087,-15.65,49858182,62465723,49788381,-20.29,2.74
341,"W&G COT. SHIRTS/BLOUSES,N-KNIT",$,779143,266918,88031,42336,-51.91,221223,681329,221223,-67.53,0.02
342,COTTON SKIRTS,$,205995,577215,246173,0,-100.00,409233,452168,331042,-26.79,0.09
345,COTTON SWEATERS,$,607673,4451665,654936,690291,5.40,4469793,1262609,4487020,255.38,0.61
347,M&B COT. TROUSERS/BREECHES/SHORTS,$,183691355,104920833,34909263,23677229,-32.17,96308154,166159466,93688799,-43.62,1.76
348,W&G COTTON TROUSERS/SLACKS/SHORTS,$,34706850,46958196,10137691,8184088,-19.27,46393166,37573131,45004593,19.78,0.85
349,"BRASSIERES, OTHER BODY SUPPORT GAR",$,0,0,0,0,,0,0,0,,0.00
350,"COTTON DRESSING GOWNS, ROBES ETC.",$,0,0,0,0,,0,0,0,,0.00
351,COTTON NIGHTWEAR/PAJAMAS,$,1612971,1815372,52229,320954,514.51,2084693,1650674,2084097,26.26,0.29
352,COTTON UNDERWEAR,$,43123171,42293431,7826227,9011826,15.15,43811705,37071055,43479030,17.29,2.21
353,M&B DOWN-FILLED COATS,$,0,0,0,0,,0,0,0,,0.00
359,OTHER COTTON APPAREL,$,19038957,21658111,7685741,2341843,-69.53,17625293,24457694,16314213,-33.30,1.48
360,COTTON PILLOWCASES,$,0,0,0,0,,0,0,0,,0.00
361,COTTON SHEETS,$,0,0,0,0,,0,0,0,,0.00
362,COTTON BEDSPREADS & QUILTS,$,0,3214,0,0,,3214,0,3214,,0.00
363,COTTON TERRY & OTHER PILE TOWELS,$,0,0,0,0,,0,0,0,,0.00
369,OTHER COTTON MANUFACTURES,$,117008,118235,38690,16125,-58.32,118235,155698,95670,-38.55,0.00
432,WOOL HOSIERY,$,0,0,0,0,,0,0,0,,0.00
433,"M&B SUIT-TYPE COATS, WOOL",$,0,7160,0,0,,7160,0,7160,,0.00
434,OTHER M&B WOOL COATS,$,0,14608,3195,1058,-66.89,12471,3195,12471,290.33,0.01
435,W&G WOOL COATS,$,15711,0,0,0,,0,15711,0,-100.00,0.00
436,WOOL DRESSES,$,0,0,0,0,,0,0,0,,0.00
438,WOOL KNIT SHIRTS/BLOUSES,$,0,24009,0,0,,24009,0,24009,,0.01
439,BABIES' GARMENTS/CLOTHING ACCESS.,$,0,0,0,0,,0,0,0,,0.00
440,"WOOL SHIRTS/BLOUSES, NOT-KNIT",$,17854,9745,0,0,,9745,10435,9745,-6.61,0.03
442,WOOL SKIRTS,$,0,0,0,0,,0,0,0,,0.00
443,"M&B SUITS, WOOL",$,0,0,0,0,,0,0,0,,0.00
445,"M&B SWEATERS, WOOL",$,0,0,0,0,,0,0,0,,0.00
446,"W&G SWEATERS, WOOL",$,0,0,0,0,,0,0,0,,0.00
447,M&B WOOL TROUSERS/BREECHES/SHORTS,$,84969,202196,12220,46448,280.10,240456,71920,236424,228.73,0.11
448,W&G WOOL SLACKS/BREECHES/SHORTS,$,0,0,0,0,,0,0,0,,0.00
